config,avg_reward,perplexity,distinct_2,distinct_3
Base,-0.15269918739795685,17.96980254651539,0.9852941176470589,1.0
RLHF,-0.15269587934017181,14.580822613835071,1.0,1.0
PPLM,-0.15271131694316864,18.3239673844662,1.0,1.0
Hybrid,-0.15216071903705597,9.117357337676959,0.9615384615384616,0.9787234042553191
