source,config,avg_reward,perplexity,distinct_2,distinct_3
results_seed123_n10.json,Base,-0.15269918739795685,17.96980254651539,0.9852941176470589,1.0
results_seed123_n10.json,RLHF,-0.15269587934017181,14.580822613835071,1.0,1.0
results_seed123_n10.json,PPLM,-0.15271131694316864,18.3239673844662,1.0,1.0
results_seed123_n10.json,Hybrid,-0.15216071903705597,9.117357337676959,0.9615384615384616,0.9787234042553191
results_seed123_n30.json,Base,-0.15269918739795685,17.96980254651539,0.9852941176470589,1.0
results_seed123_n30.json,RLHF,-0.15269587934017181,14.580822613835071,1.0,1.0
results_seed123_n30.json,PPLM,-0.15271131694316864,18.3239673844662,1.0,1.0
results_seed123_n30.json,Hybrid,-0.15216071903705597,9.117357337676959,0.9615384615384616,0.9787234042553191
results_seed123_n60.json,Base,-0.15269918739795685,17.96980254651539,0.9852941176470589,1.0
results_seed123_n60.json,RLHF,-0.15269587934017181,14.580822613835071,1.0,1.0
results_seed123_n60.json,PPLM,-0.15271131694316864,18.3239673844662,1.0,1.0
results_seed123_n60.json,Hybrid,-0.15216071903705597,9.117357337676959,0.9615384615384616,0.9787234042553191
results_seed42_n10.json,Base,-0.12809021770954132,35.63139967647751,0.9689922480620154,1.0
results_seed42_n10.json,RLHF,-0.12803487479686737,26.363136661551994,0.953307392996109,0.996031746031746
results_seed42_n10.json,PPLM,-0.1282322108745575,18.35159119334664,0.9437751004016064,0.9836065573770492
results_seed42_n10.json,Hybrid,-0.12865352630615234,37.14284752687067,0.972972972972973,0.9960629921259843
results_seed42_n30.json,Base,-0.12809021770954132,35.63139967647751,0.9689922480620154,1.0
results_seed42_n30.json,RLHF,-0.12803487479686737,26.363136661551994,0.953307392996109,0.996031746031746
results_seed42_n30.json,PPLM,-0.1282322108745575,18.35159119334664,0.9437751004016064,0.9836065573770492
results_seed42_n30.json,Hybrid,-0.12865352630615234,37.14284752687067,0.972972972972973,0.9960629921259843
results_seed42_n60.json,Base,-0.12809021770954132,35.63139967647751,0.9689922480620154,1.0
results_seed42_n60.json,RLHF,-0.12803487479686737,26.363136661551994,0.953307392996109,0.996031746031746
results_seed42_n60.json,PPLM,-0.1282322108745575,18.35159119334664,0.9437751004016064,0.9836065573770492
results_seed42_n60.json,Hybrid,-0.12865352630615234,37.14284752687067,0.972972972972973,0.9960629921259843
results_seed7_n10.json,Base,-0.048734407871961594,84.27649999445563,0.9717314487632509,0.9964028776978417
results_seed7_n10.json,RLHF,-0.04986708611249924,91.734591807874,0.9581881533101045,0.9822695035460993
results_seed7_n10.json,PPLM,-0.049066103994846344,94.93784533345163,0.9625468164794008,0.9923664122137404
results_seed7_n10.json,Hybrid,-0.04887705296278,85.71989107540524,0.9829351535836177,0.9930555555555556
results_seed7_n30.json,Base,-0.048734407871961594,84.27649999445563,0.9717314487632509,0.9964028776978417
results_seed7_n30.json,RLHF,-0.04986708611249924,91.734591807874,0.9581881533101045,0.9822695035460993
results_seed7_n30.json,PPLM,-0.049066103994846344,94.93784533345163,0.9625468164794008,0.9923664122137404
results_seed7_n30.json,Hybrid,-0.04887705296278,85.71989107540524,0.9829351535836177,0.9930555555555556
results_seed7_n60.json,Base,-0.048734407871961594,84.27649999445563,0.9717314487632509,0.9964028776978417
results_seed7_n60.json,RLHF,-0.04986708611249924,91.734591807874,0.9581881533101045,0.9822695035460993
results_seed7_n60.json,PPLM,-0.049066103994846344,94.93784533345163,0.9625468164794008,0.9923664122137404
results_seed7_n60.json,Hybrid,-0.04887705296278,85.71989107540524,0.9829351535836177,0.9930555555555556
